City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,zhengzhou,34.7578,113.6486,279.57,33,100,2.63,CN,1709921312
111,hilo,19.7297,-155.09,296.08,97,100,2.06,US,1709921313
112,callao,-12.0667,-77.15,298.31,69,0,6.69,PE,1709921314
113,ilulissat,69.2167,-51.1,259.16,85,75,5.66,GL,1709921316
114,guarapari,-20.6667,-40.4975,301.98,78,41,2.96,BR,1709921317
115,udachny,66.4167,112.4,259.51,92,100,1.43,RU,1709921319
116,vorgashor,67.5833,63.95,245.31,99,35,2.99,RU,1709921297
117,selfoss,63.9331,-20.9971,278.17,71,78,5.7,IS,1709921321
118,itaituba,-4.2761,-55.9836,304.47,71,100,1.3,BR,1709921322
119,belyy yar,53.6039,91.3903,271.09,59,0,4.0,RU,1709921324
120,fort bragg,35.139,-79.006,292.54,57,0,4.12,US,1709921325
121,guamal,9.1433,-74.2238,310.83,36,42,0.99,CO,1709921326
122,makushino,55.2103,67.2442,259.65,97,99,3.78,RU,1709921328
123,kerikeri,-35.2268,173.9474,286.87,95,9,1.82,NZ,1709921329
124,walvis bay,-22.9575,14.5053,291.53,74,16,8.35,NA,1709921332
125,newman,37.3138,-121.0208,287.18,62,0,0.95,US,1709921333
126,arkhangel'sk,64.5401,40.5433,263.21,85,20,3.0,RU,1709921335
127,port mathurin,-19.6833,63.4167,299.3,84,100,8.6,MU,1709921336
128,wanganui,-39.9333,175.05,285.21,88,36,5.39,NZ,1709921337
129,sake,-1.5736,29.045,291.46,93,61,0.32,CD,1709921338
130,sinop,41.7711,34.8709,277.39,94,100,1.74,TR,1709921340
131,burutu,5.3509,5.5076,301.72,74,73,3.36,NG,1709921331
132,jamestown,42.097,-79.2353,290.92,42,0,5.66,US,1709921320
133,el alto,-4.2714,-81.2147,305.96,65,41,3.47,PE,1709921344
134,aasiaat,68.7098,-52.8699,257.28,91,100,3.54,GL,1709921345
135,gadzhiyevo,69.2551,33.3362,270.26,97,100,3.37,RU,1709921346
136,nova sintra,14.8667,-24.7167,292.89,70,19,9.12,CV,1709921326
137,selkirk,50.1436,-96.8845,265.46,90,97,1.98,CA,1709921349
138,son la,21.3167,103.9,288.66,83,77,1.86,VN,1709921350
139,hamilton,39.1834,-84.5333,286.62,93,100,3.09,US,1709920710
140,cole harbour,44.6724,-63.4751,274.8,86,100,7.6,CA,1709921353
141,phan rang-thap cham,11.5667,108.9833,296.63,82,97,2.7,VN,1709921354
142,nizhnyaya poyma,56.1622,97.1933,264.8,97,98,0.43,RU,1709921355
143,kourou,5.1552,-52.6478,305.18,68,99,5.17,GF,1709921357
144,kertih,4.5141,103.4483,297.93,84,100,0.69,MY,1709921358
145,narasannapeta,18.4167,84.05,298.64,81,16,1.61,IN,1709921359
146,bikenibeu village,1.3673,173.1241,301.13,89,100,3.09,KI,1709921363
147,ghadamis,30.1337,9.5007,295.1,21,35,2.36,LY,1709921364
148,slave lake,55.2834,-114.769,275.91,64,100,2.61,CA,1709921366
149,kapuskasing,49.4169,-82.4331,278.2,48,100,2.57,CA,1709921162
150,el obeid,13.1842,30.2167,299.0,7,69,4.47,SD,1709921369
151,nha trang,12.25,109.1833,299.15,86,98,2.51,VN,1709921370
152,penzance,50.1186,-5.5371,281.53,86,100,12.64,GB,1709921371
153,charlottetown,46.2352,-63.1267,273.02,89,100,10.73,CA,1709921205
154,tyukhtet,56.5389,89.3011,260.06,97,96,2.22,RU,1709921374
155,metahara,8.9,39.9167,299.17,58,62,1.35,ET,1709921375
